AnnotationID,Section,Session_ID,Window_Index,Window_Position,Start_Time,End_Time,n_events,n_users,User_Distribution,Top_User_Share,Dominant_Event,R_event,Dominant_Component,R_component,Event_Distribution,Component_Distribution,Prior_Window_Summary,Next_Window_Summary,Alignment,Dispersion,Stability,Action,Notes
69,Sec-19,91,10,Window 8 of 13 in this session,4/13/2026 12:01,4/13/2026 12:02,6,5,"S1=2, S2=1, S3=1, S4=1, S5=1",0.33,Course module viewed,1,File,1,Course module viewed: 6,File: 6,"W9 [12:00]: 6 events, n_users=4, dominant=Course module viewed","W11 [12:02]: 8 events, n_users=6, dominant=Course module viewed",,,,,
70,Sec-19,91,11,Window 9 of 13 in this session,4/13/2026 12:02,4/13/2026 12:03,8,6,"S1=2, S2=2, S3=1, S4=1, S5=1, S6=1",0.25,Course module viewed,0.75,File,0.75,"Course module viewed: 6, Course viewed: 2","File: 6, System: 2","W10 [12:01]: 6 events, n_users=5, dominant=Course module viewed","W15 [12:06]: 7 events, n_users=3, dominant=Course module viewed",,,,,
71,Sec-19,91,28,Window 12 of 13 in this session,4/13/2026 12:19,4/13/2026 12:20,9,7,"S1=2, S2=2, S3=1, S4=1, S5=1, S6=1, S7=1",0.22,Course module viewed,1,File,1,Course module viewed: 9,File: 9,"W27 [12:18]: 6 events, n_users=6, dominant=Course module viewed","W29 [12:20]: 16 events, n_users=6, dominant=Course module viewed",,,,,
72,Sec-20,4,35,Window 6 of 7 in this session,2/18/2026 12:57,2/18/2026 12:58,24,7,"S1=6, S2=6, S3=5, S4=4, S5=1, S6=1, S7=1",0.25,Course module viewed,1,File,1,Course module viewed: 24,File: 24,"W34 [12:56]: 17 events, n_users=11, dominant=Course module viewed","W55 [13:17]: 6 events, n_users=5, dominant=Course module viewed",,,,,
73,Sec-20,4,29,Window 3 of 7 in this session,2/18/2026 12:51,2/18/2026 12:52,25,6,"S1=6, S2=6, S3=4, S4=4, S5=4, S6=1",0.24,Course module viewed,0.8,File,0.6,"Course module viewed: 20, Course viewed: 5","File: 15, System: 5, Page: 4, URL: 1","W28 [12:50]: 17 events, n_users=4, dominant=Course module viewed","W30 [12:52]: 8 events, n_users=6, dominant=Course viewed",,,,,
74,Sec-20,4,34,Window 5 of 7 in this session,2/18/2026 12:56,2/18/2026 12:57,17,11,"S1=4, S2=3, S3=2, S4=1, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1, S11=1",0.24,Course module viewed,1,File,1,Course module viewed: 17,File: 17,"W30 [12:52]: 8 events, n_users=6, dominant=Course viewed","W35 [12:57]: 24 events, n_users=7, dominant=Course module viewed",,,,,
75,Sec-20,87,81,Window 8 of 8 in this session,4/13/2026 13:09,4/13/2026 13:10,10,5,"S1=3, S2=2, S3=2, S4=2, S5=1",0.3,Course module viewed,0.6,File,0.5,"Course module viewed: 6, Course viewed: 3, The status of the submission has been viewed.: 1","File: 5, System: 3, Assignment: 2","W80 [13:08]: 7 events, n_users=4, dominant=Course module viewed",(none — last retained window of session),,,,,
76,Sec-20,130,7,Window 3 of 7 in this session,4/20/2026 12:02,4/20/2026 12:03,33,13,"S1=9, S2=4, S3=3, S4=3, S5=2, S6=2, S7=2, S8=2, S9=2, S10=1, S11=1, S12=1, S13=1",0.27,Course module viewed,0.727,File,0.697,"Course module viewed: 24, Course viewed: 6, Section viewed: 2, The status of the submission has been viewed.: 1","File: 23, System: 8, Assignment: 2","W6 [12:01]: 7 events, n_users=3, dominant=Course viewed","W8 [12:03]: 22 events, n_users=14, dominant=Course module viewed",,,,,
77,Sec-20,130,10,Window 6 of 7 in this session,4/20/2026 12:05,4/20/2026 12:06,12,7,"S1=3, S2=3, S3=2, S4=1, S5=1, S6=1, S7=1",0.25,Course module viewed,0.75,File,0.75,"Course module viewed: 9, Course viewed: 3","File: 9, System: 3","W9 [12:04]: 28 events, n_users=12, dominant=Course module viewed","W12 [12:07]: 6 events, n_users=3, dominant=Course module viewed",,,,,
78,Sec-20,141,56,Window 11 of 12 in this session,4/22/2026 12:52,4/22/2026 12:53,28,16,"S1=6, S2=3, S3=2, S4=2, S5=2, S6=2, S7=2, S8=1, S9=1, S10=1, S11=1, S12=1, S13=1, S14=1, S15=1, S16=1",0.21,Course module viewed,0.857,File,0.857,"Course module viewed: 24, Course viewed: 4","File: 24, System: 4","W55 [12:51]: 45 events, n_users=19, dominant=Course module viewed","W57 [12:53]: 23 events, n_users=9, dominant=Course module viewed",,,,,
79,Sec-21,6,38,Window 3 of 8 in this session,2/18/2026 14:37,2/18/2026 14:38,12,8,"S1=3, S2=2, S3=2, S4=1, S5=1, S6=1, S7=1, S8=1",0.25,Course module viewed,0.833,File,0.833,"Course module viewed: 10, Course viewed: 1, Section viewed: 1","File: 10, System: 2","W37 [14:36]: 18 events, n_users=13, dominant=Course module viewed","W39 [14:38]: 5 events, n_users=3, dominant=Course module viewed",,,,,
80,Sec-21,4,16,Window 5 of 7 in this session,2/16/2026 14:19,2/16/2026 14:20,24,8,"S1=14, S2=4, S3=1, S4=1, S5=1, S6=1, S7=1, S8=1",0.58,Course module viewed,0.75,File,0.75,"Course module viewed: 18, Course viewed: 5, Grade user report viewed: 1","File: 18, System: 5, User report: 1","W15 [14:18]: 22 events, n_users=11, dominant=Course module viewed","W17 [14:20]: 7 events, n_users=4, dominant=Course module viewed",,,,,
81,Sec-21,4,15,Window 4 of 7 in this session,2/16/2026 14:18,2/16/2026 14:19,22,11,"S1=3, S2=3, S3=3, S4=3, S5=3, S6=2, S7=1, S8=1, S9=1, S10=1, S11=1",0.14,Course module viewed,0.636,File,0.591,"Course module viewed: 14, Course viewed: 7, User profile viewed: 1","File: 13, System: 8, Folder: 1","W14 [14:17]: 12 events, n_users=5, dominant=Course module viewed","W16 [14:19]: 24 events, n_users=8, dominant=Course module viewed",,,,,
82,Sec-21,4,12,Window 1 of 7 in this session,2/16/2026 14:15,2/16/2026 14:16,5,4,"S1=2, S2=1, S3=1, S4=1",0.4,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2",(none — first retained window of session),"W13 [14:16]: 5 events, n_users=5, dominant=Course viewed",,,,,
83,Sec-21,4,17,Window 6 of 7 in this session,2/16/2026 14:20,2/16/2026 14:21,7,4,"S1=3, S2=2, S3=1, S4=1",0.43,Course module viewed,0.714,File,0.714,"Course module viewed: 5, Course viewed: 2","File: 5, System: 2","W16 [14:19]: 24 events, n_users=8, dominant=Course module viewed","W18 [14:21]: 12 events, n_users=4, dominant=Course module viewed",,,,,
84,Sec-21,6,40,Window 5 of 8 in this session,2/18/2026 14:39,2/18/2026 14:40,7,4,"S1=2, S2=2, S3=2, S4=1",0.29,Course module viewed,0.571,File,0.571,"Course module viewed: 4, Course viewed: 3","File: 4, System: 3","W39 [14:38]: 5 events, n_users=3, dominant=Course module viewed","W66 [15:05]: 4 events, n_users=3, dominant=Course module viewed",,,,,
85,Sec-21,173,20,Window 4 of 10 in this session,4/20/2026 14:06,4/20/2026 14:07,16,5,"S1=4, S2=3, S3=3, S4=3, S5=3",0.25,Course module viewed,0.688,File,0.625,"Course module viewed: 11, Course viewed: 5","File: 10, System: 5, URL: 1","W19 [14:05]: 10 events, n_users=7, dominant=Course module viewed","W21 [14:07]: 7 events, n_users=3, dominant=Course module viewed",,,,,
86,Sec-21,173,18,Window 2 of 10 in this session,4/20/2026 14:04,4/20/2026 14:05,21,9,"S1=3, S2=3, S3=3, S4=3, S5=2, S6=2, S7=2, S8=2, S9=1",0.14,Course module viewed,0.762,File,0.762,"Course module viewed: 16, Course viewed: 5","File: 16, System: 5","W17 [14:03]: 8 events, n_users=3, dominant=Course module viewed","W19 [14:05]: 10 events, n_users=7, dominant=Course module viewed",,,,,
87,Sec-21,182,30,Window 12 of 12 in this session,4/22/2026 14:19,4/22/2026 14:20,5,3,"S1=3, S2=1, S3=1",0.6,Course module viewed,1,File,1,Course module viewed: 5,File: 5,"W28 [14:17]: 5 events, n_users=4, dominant=Course module viewed",(none — last retained window of session),,,,,
88,Sec-21,173,43,Window 10 of 10 in this session,4/20/2026 14:29,4/20/2026 14:30,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,1,File,1,Course module viewed: 3,File: 3,"W25 [14:11]: 5 events, n_users=3, dominant=Course module viewed",(none — last retained window of session),,,,,
89,Sec-21,182,28,Window 11 of 12 in this session,4/22/2026 14:17,4/22/2026 14:18,5,4,"S1=2, S2=1, S3=1, S4=1",0.4,Course module viewed,1,File,1,Course module viewed: 5,File: 5,"W27 [14:16]: 11 events, n_users=5, dominant=Course module viewed","W30 [14:19]: 5 events, n_users=3, dominant=Course module viewed",,,,,
90,Sec-21,182,27,Window 10 of 12 in this session,4/22/2026 14:16,4/22/2026 14:17,11,5,"S1=4, S2=3, S3=2, S4=1, S5=1",0.36,Course module viewed,0.636,File,0.636,"Course module viewed: 7, Course viewed: 4","File: 7, System: 4","W26 [14:15]: 4 events, n_users=3, dominant=Course module viewed","W28 [14:17]: 5 events, n_users=4, dominant=Course module viewed",,,,,
91,Sec-21,182,25,Window 8 of 12 in this session,4/22/2026 14:14,4/22/2026 14:15,11,4,"S1=5, S2=3, S3=2, S4=1",0.45,Course module viewed,0.818,File,0.818,"Course module viewed: 9, Course viewed: 2","File: 9, System: 2","W24 [14:13]: 10 events, n_users=5, dominant=Course module viewed","W26 [14:15]: 4 events, n_users=3, dominant=Course module viewed",,,,,
92,Sec-22,106,4,Window 3 of 13 in this session,4/13/2026 13:57,4/13/2026 13:58,4,3,"S1=2, S2=1, S3=1",0.5,Course module viewed,0.75,File,0.75,"Course module viewed: 3, Course viewed: 1","File: 3, System: 1","W1 [13:54]: 10 events, n_users=3, dominant=Course module viewed","W7 [14:00]: 3 events, n_users=3, dominant=Course module viewed",,,,,
93,Sec-22,106,30,Window 9 of 13 in this session,4/13/2026 14:23,4/13/2026 14:24,8,3,"S1=4, S2=2, S3=2",0.5,Course module viewed,0.875,File,0.875,"Course module viewed: 7, Course viewed: 1","File: 7, System: 1","W14 [14:07]: 10 events, n_users=3, dominant=Course module viewed","W38 [14:31]: 9 events, n_users=6, dominant=Course module viewed",,,,,
94,Sec-22,154,34,Window 2 of 7 in this session,4/22/2026 14:20,4/22/2026 14:21,4,4,"S1=1, S2=1, S3=1, S4=1",0.25,Course module viewed,0.75,File,0.75,"Course module viewed: 3, Course viewed: 1","File: 3, System: 1","W25 [14:11]: 5 events, n_users=3, dominant=Course module viewed","W37 [14:23]: 4 events, n_users=3, dominant=Course module viewed",,,,,
95,Sec-23,215,71,Window 10 of 13 in this session,4/20/2026 14:35,4/20/2026 14:36,61,24,"S1=9, S2=4, S3=4, S4=3, S5=3, S6=3, S7=3, S8=3, S9=2, S10=2, S11=2, S12=2, S13=2, S14=2, S15=2, S16=2, S17=2, S18=2, S19=2, S20=2, S21=2, S22=1, S23=1, S24=1",0.15,Course module viewed,0.967,File,0.967,"Course module viewed: 59, Course viewed: 2","File: 59, System: 2","W49 [14:13]: 5 events, n_users=4, dominant=Course viewed","W72 [14:36]: 17 events, n_users=8, dominant=Course module viewed",,,,,
96,Sec-23,221,55,Window 3 of 10 in this session,4/22/2026 14:06,4/22/2026 14:07,12,5,"S1=4, S2=3, S3=2, S4=2, S5=1",0.33,Course module viewed,0.75,File,0.667,"Course module viewed: 9, Course viewed: 2, The status of the submission has been viewed.: 1","File: 8, Assignment: 2, System: 2","W54 [14:05]: 10 events, n_users=5, dominant=Course module viewed","W56 [14:07]: 9 events, n_users=5, dominant=Course module viewed",,,,,
97,Sec-23,221,60,Window 7 of 10 in this session,4/22/2026 14:11,4/22/2026 14:12,14,7,"S1=5, S2=3, S3=2, S4=1, S5=1, S6=1, S7=1",0.36,Course module viewed,0.714,File,0.571,"Course module viewed: 10, Course viewed: 3, The status of the submission has been viewed.: 1","File: 8, System: 3, Assignment: 2, URL: 1","W58 [14:09]: 10 events, n_users=8, dominant=Course module viewed","W61 [14:12]: 9 events, n_users=5, dominant=Course module viewed",,,,,
98,Sec-23,221,63,Window 10 of 10 in this session,4/22/2026 14:14,4/22/2026 14:15,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,1,File,1,Course module viewed: 3,File: 3,"W62 [14:13]: 9 events, n_users=6, dominant=Course module viewed",(none — last retained window of session),,,,,
99,Sec-23,221,62,Window 9 of 10 in this session,4/22/2026 14:13,4/22/2026 14:14,9,6,"S1=4, S2=1, S3=1, S4=1, S5=1, S6=1",0.44,Course module viewed,0.556,File,0.556,"Course module viewed: 5, Course viewed: 2, Grade user report viewed: 1, User list viewed: 1","File: 5, System: 3, User report: 1","W61 [14:12]: 9 events, n_users=5, dominant=Course module viewed","W63 [14:14]: 3 events, n_users=3, dominant=Course module viewed",,,,,
100,Sec-23,221,58,Window 6 of 10 in this session,4/22/2026 14:09,4/22/2026 14:10,10,8,"S1=2, S2=2, S3=1, S4=1, S5=1, S6=1, S7=1, S8=1",0.2,Course module viewed,0.8,File,0.8,"Course module viewed: 8, Course viewed: 2","File: 8, System: 2","W57 [14:08]: 8 events, n_users=5, dominant=Course module viewed","W60 [14:11]: 14 events, n_users=7, dominant=Course module viewed",,,,,
101,Sec-01,8,31,Window 8 of 14 in this session,2/17/2026 8:36,2/17/2026 8:37,51,7,"S1=15, S2=8, S3=8, S4=6, S5=6, S6=4, S7=4",0.29,Course module viewed,0.353,Assignment,0.725,"Course module viewed: 18, The status of the submission has been viewed.: 8, A file has been uploaded.: 5, A submission has been submitted.: 5, Submission created.: 4","Assignment: 37, File submissions: 10, System: 4","W30 [08:35]: 57 events, n_users=10, dominant=Course module viewed","W32 [08:37]: 39 events, n_users=6, dominant=Course module viewed",,,,,
102,Sec-01,135,103,Window 16 of 21 in this session,4/19/2026 9:23,4/19/2026 9:24,45,6,"S1=14, S2=9, S3=8, S4=6, S5=4, S6=4",0.31,Course module viewed,0.4,Assignment,0.822,"Course module viewed: 18, The status of the submission has been viewed.: 9, Submission form viewed.: 7, A submission has been submitted.: 3, Submission created.: 3","Assignment: 37, File submissions: 6, System: 2","W102 [09:22]: 4 events, n_users=3, dominant=Course module viewed","W104 [09:24]: 41 events, n_users=7, dominant=Course module viewed",,,,,
103,Sec-01,97,18,Window 4 of 19 in this session,4/14/2026 8:06,4/14/2026 8:07,8,4,"S1=3, S2=2, S3=2, S4=1",0.38,Course module viewed,0.625,File,0.5,"Course module viewed: 5, Course viewed: 2, The status of the submission has been viewed.: 1","File: 4, System: 2, Assignment: 2","W17 [08:05]: 4 events, n_users=3, dominant=Course module viewed","W22 [08:10]: 5 events, n_users=3, dominant=Course module viewed",,,,,
104,Sec-01,97,24,Window 7 of 19 in this session,4/14/2026 8:12,4/14/2026 8:13,5,4,"S1=2, S2=1, S3=1, S4=1",0.4,Course module viewed,0.8,File,0.8,"Course module viewed: 4, Course viewed: 1","File: 4, System: 1","W23 [08:11]: 20 events, n_users=8, dominant=Course module viewed","W29 [08:17]: 5 events, n_users=4, dominant=Course viewed",,,,,
105,Sec-01,135,40,Window 14 of 21 in this session,4/19/2026 8:20,4/19/2026 8:21,14,4,"S1=6, S2=3, S3=3, S4=2",0.43,Course module viewed,0.357,Assignment,0.571,"Course module viewed: 5, The status of the submission has been viewed.: 3, Course viewed: 3, Submission updated.: 1, A file has been uploaded.: 1","Assignment: 8, System: 3, File submissions: 2, File: 1","W38 [08:18]: 23 events, n_users=17, dominant=Course module viewed","W102 [09:22]: 4 events, n_users=3, dominant=Course module viewed",,,,,
106,Sec-01,97,123,Window 19 of 19 in this session,4/14/2026 9:51,4/14/2026 9:52,16,3,"S1=8, S2=6, S3=2",0.5,Course module viewed,0.375,Assignment,0.75,"Course module viewed: 6, Submission form viewed.: 2, The status of the submission has been viewed.: 2, A submission has been submitted.: 2, Submission created.: 2","Assignment: 12, File submissions: 4","W122 [09:50]: 29 events, n_users=4, dominant=Course module viewed",(none — last retained window of session),,,,,
107,Sec-01,142,13,Window 2 of 10 in this session,4/21/2026 8:03,4/21/2026 8:04,19,6,"S1=8, S2=4, S3=3, S4=2, S5=1, S6=1",0.42,Course module viewed,0.368,Assignment,0.526,"Course module viewed: 7, Course viewed: 5, The status of the submission has been viewed.: 3, Submission form viewed.: 1, A submission has been submitted.: 1","Assignment: 10, System: 5, File: 2, File submissions: 2","W12 [08:02]: 11 events, n_users=5, dominant=Course module viewed","W15 [08:05]: 24 events, n_users=6, dominant=Course viewed",,,,,
108,Sec-02,18,19,Window 4 of 7 in this session,2/24/2026 8:06,2/24/2026 8:07,4,3,"S1=2, S2=1, S3=1",0.5,Course module viewed,0.5,Assignment,0.5,"Course module viewed: 2, Submission form viewed.: 1, Course viewed: 1","Assignment: 2, File: 1, System: 1","W18 [08:05]: 7 events, n_users=4, dominant=Course module viewed","W22 [08:09]: 4 events, n_users=3, dominant=Course viewed",,,,,
109,Sec-02,23,57,Window 16 of 18 in this session,3/3/2026 8:45,3/3/2026 8:46,32,3,"S1=15, S2=15, S3=2",0.47,Course module viewed,0.406,Assignment,0.875,"Course module viewed: 13, The status of the submission has been viewed.: 4, Submission form viewed.: 3, Remove submission confirmation viewed.: 2, The status of the submission has been updated.: 2","Assignment: 28, File submissions: 4","W52 [08:40]: 10 events, n_users=3, dominant=Course module viewed","W58 [08:46]: 25 events, n_users=3, dominant=Course module viewed",,,,,
110,Sec-02,23,32,Window 10 of 18 in this session,3/3/2026 8:20,3/3/2026 8:21,5,3,"S1=2, S2=2, S3=1",0.4,Course module viewed,0.4,Assignment,0.8,"Course module viewed: 2, The status of the submission has been viewed.: 2, Course viewed: 1","Assignment: 4, System: 1","W31 [08:19]: 6 events, n_users=3, dominant=Course module viewed","W33 [08:21]: 8 events, n_users=3, dominant=Course module viewed",,,,,
111,Sec-02,23,51,Window 14 of 18 in this session,3/3/2026 8:39,3/3/2026 8:40,20,4,"S1=6, S2=5, S3=5, S4=4",0.3,Course module viewed,0.4,Assignment,0.8,"Course module viewed: 8, The status of the submission has been viewed.: 4, Submission form viewed.: 3, Course viewed: 2, A submission has been submitted.: 1","Assignment: 16, File submissions: 2, System: 2","W50 [08:38]: 41 events, n_users=5, dominant=Course module viewed","W52 [08:40]: 10 events, n_users=3, dominant=Course module viewed",,,,,
112,Sec-02,23,29,Window 7 of 18 in this session,3/3/2026 8:17,3/3/2026 8:18,12,8,"S1=3, S2=2, S3=2, S4=1, S5=1, S6=1, S7=1, S8=1",0.25,Course module viewed,0.583,Assignment,0.5,"Course module viewed: 7, The status of the submission has been viewed.: 3, Course viewed: 2","Assignment: 6, File: 4, System: 2","W28 [08:16]: 20 events, n_users=6, dominant=Course module viewed","W30 [08:18]: 15 events, n_users=4, dominant=Course module viewed",,,,,
113,Sec-02,99,103,Window 16 of 18 in this session,4/19/2026 9:39,4/19/2026 9:40,31,5,"S1=12, S2=8, S3=6, S4=4, S5=1",0.39,Course module viewed,0.484,Assignment,0.71,"Course module viewed: 15, The status of the submission has been viewed.: 5, Submission form viewed.: 4, A submission has been submitted.: 2, Submission created.: 2","Assignment: 22, File: 4, File submissions: 4, System: 1","W100 [09:36]: 13 events, n_users=4, dominant=Course module viewed","W104 [09:40]: 26 events, n_users=4, dominant=Course module viewed",,,,,
114,Sec-02,64,79,Window 12 of 18 in this session,4/14/2026 8:58,4/14/2026 8:59,26,4,"S1=9, S2=9, S3=6, S4=2",0.35,Course module viewed,0.423,Assignment,0.923,"Course module viewed: 11, The status of the submission has been viewed.: 5, Remove submission confirmation viewed.: 2, The status of the submission has been updated.: 2, Submission removed.: 2","Assignment: 24, File submissions: 2","W40 [08:19]: 3 events, n_users=3, dominant=Course module viewed","W80 [08:59]: 26 events, n_users=4, dominant=Course module viewed",,,,,
115,Sec-02,64,120,Window 17 of 18 in this session,4/14/2026 9:39,4/14/2026 9:40,10,3,"S1=6, S2=2, S3=2",0.6,Course module viewed,0.4,Assignment,0.8,"Course module viewed: 4, Submission form viewed.: 2, A file has been uploaded.: 1, The status of the submission has been viewed.: 1, A submission has been submitted.: 1","Assignment: 8, File submissions: 2","W101 [09:20]: 14 events, n_users=3, dominant=Course module viewed","W131 [09:50]: 16 events, n_users=3, dominant=Course module viewed",,,,,
116,Sec-02,64,25,Window 5 of 18 in this session,4/14/2026 8:04,4/14/2026 8:05,16,6,"S1=7, S2=3, S3=2, S4=2, S5=1, S6=1",0.44,Course module viewed,0.812,File,0.688,"Course module viewed: 13, The status of the submission has been viewed.: 2, Course viewed: 1","File: 11, Assignment: 4, System: 1","W24 [08:03]: 9 events, n_users=5, dominant=Course module viewed","W26 [08:05]: 21 events, n_users=8, dominant=Course module viewed",,,,,
117,Sec-03,42,76,Window 4 of 8 in this session,3/17/2026 8:51,3/17/2026 8:52,10,7,"S1=3, S2=2, S3=1, S4=1, S5=1, S6=1, S7=1",0.3,Course module viewed,0.7,File,0.7,"Course module viewed: 7, Course viewed: 2, User list viewed: 1","File: 7, System: 3","W75 [08:50]: 13 events, n_users=5, dominant=Course viewed","W77 [08:52]: 13 events, n_users=4, dominant=Course module viewed",,,,,
118,Sec-03,84,99,Window 14 of 14 in this session,4/14/2026 9:28,4/14/2026 9:29,32,5,"S1=11, S2=10, S3=6, S4=4, S5=1",0.34,Course module viewed,0.375,Assignment,0.75,"Course module viewed: 12, The status of the submission has been viewed.: 6, Submission form viewed.: 3, A submission has been submitted.: 3, Submission created.: 3","Assignment: 24, File submissions: 6, System: 2","W98 [09:27]: 27 events, n_users=4, dominant=Course module viewed",(none — last retained window of session),,,,,
119,Sec-03,118,12,Window 5 of 12 in this session,4/19/2026 8:13,4/19/2026 8:14,5,3,"S1=3, S2=1, S3=1",0.6,Course module viewed,0.4,Assignment,0.4,"Course module viewed: 2, Course viewed: 2, The status of the submission has been viewed.: 1","Assignment: 2, System: 2, File: 1","W9 [08:10]: 10 events, n_users=4, dominant=Course viewed","W13 [08:14]: 9 events, n_users=5, dominant=Course module viewed",,,,,
120,Sec-03,118,6,Window 2 of 12 in this session,4/19/2026 8:07,4/19/2026 8:08,11,4,"S1=6, S2=3, S3=1, S4=1",0.55,Course module viewed,0.455,Assignment,0.545,"Course module viewed: 5, The status of the submission has been viewed.: 2, A submission has been submitted.: 1, Submission created.: 1, A file has been uploaded.: 1","Assignment: 6, File: 2, File submissions: 2, System: 1","W5 [08:06]: 27 events, n_users=8, dominant=Course module viewed","W8 [08:09]: 8 events, n_users=3, dominant=Course viewed",,,,,
121,Sec-03,123,71,Window 8 of 18 in this session,4/21/2026 8:15,4/21/2026 8:16,6,3,"S1=4, S2=1, S3=1",0.67,Course module viewed,0.667,File,0.667,"Course module viewed: 4, Course viewed: 2","File: 4, System: 2","W68 [08:12]: 3 events, n_users=3, dominant=Course module viewed","W72 [08:16]: 10 events, n_users=6, dominant=Course module viewed",,,,,
122,Sec-04,108,40,Window 4 of 11 in this session,4/19/2026 10:32,4/19/2026 10:33,26,12,"S1=3, S2=3, S3=3, S4=3, S5=2, S6=2, S7=2, S8=2, S9=2, S10=2, S11=1, S12=1",0.12,Course module viewed,0.962,File,0.962,"Course module viewed: 25, Course viewed: 1","File: 25, System: 1","W39 [10:31]: 4 events, n_users=4, dominant=Course viewed","W41 [10:33]: 8 events, n_users=7, dominant=Course module viewed",,,,,
123,Sec-04,87,74,Window 24 of 24 in this session,4/14/2026 11:16,4/14/2026 11:17,24,3,"S1=10, S2=10, S3=4",0.42,Course module viewed,0.417,Assignment,0.833,"Course module viewed: 10, The status of the submission has been viewed.: 5, Submission form viewed.: 3, Submission created.: 2, A file has been uploaded.: 2","Assignment: 20, File submissions: 4","W73 [11:15]: 22 events, n_users=4, dominant=Course module viewed",(none — last retained window of session),,,,,
124,Sec-04,87,13,Window 13 of 24 in this session,4/14/2026 10:15,4/14/2026 10:16,8,4,"S1=3, S2=3, S3=1, S4=1",0.38,Course module viewed,0.75,File,0.75,"Course module viewed: 6, Course viewed: 2","File: 6, System: 2","W12 [10:14]: 15 events, n_users=5, dominant=Course module viewed","W19 [10:21]: 5 events, n_users=3, dominant=Course module viewed",,,,,
125,Sec-04,87,10,Window 10 of 24 in this session,4/14/2026 10:12,4/14/2026 10:13,17,6,"S1=4, S2=4, S3=4, S4=2, S5=2, S6=1",0.24,Course module viewed,0.588,File,0.471,"Course module viewed: 10, Course viewed: 3, The status of the submission has been viewed.: 2, Grade user report viewed: 1, User list viewed: 1","File: 8, System: 4, Assignment: 4, User report: 1","W9 [10:11]: 5 events, n_users=3, dominant=Course module viewed","W11 [10:13]: 7 events, n_users=4, dominant=Course module viewed",,,,,
126,Sec-04,87,59,Window 15 of 24 in this session,4/14/2026 11:01,4/14/2026 11:02,13,3,"S1=6, S2=4, S3=3",0.46,Course module viewed,0.385,Assignment,0.769,"Course module viewed: 5, The status of the submission has been viewed.: 3, Course viewed: 1, Submission created.: 1, A file has been uploaded.: 1","Assignment: 10, File submissions: 2, System: 1","W19 [10:21]: 5 events, n_users=3, dominant=Course module viewed","W60 [11:02]: 18 events, n_users=4, dominant=Course module viewed",,,,,
127,Sec-04,121,7,Window 2 of 9 in this session,4/21/2026 10:05,4/21/2026 10:06,11,5,"S1=3, S2=3, S3=2, S4=2, S5=1",0.27,Course module viewed,0.818,File,0.818,"Course module viewed: 9, Course viewed: 2","File: 9, System: 2","W6 [10:04]: 16 events, n_users=9, dominant=Course module viewed","W8 [10:06]: 11 events, n_users=6, dominant=Course module viewed",,,,,
128,Sec-05,14,21,Window 8 of 9 in this session,2/22/2026 10:51,2/22/2026 10:52,49,9,"S1=11, S2=9, S3=6, S4=6, S5=4, S6=4, S7=4, S8=4, S9=1",0.22,Course module viewed,0.51,Assignment,0.837,"Course module viewed: 25, The status of the submission has been viewed.: 9, Submission form viewed.: 9, Submission created.: 2, A file has been uploaded.: 2","Assignment: 41, File: 4, File submissions: 4","W20 [10:50]: 9 events, n_users=3, dominant=Course module viewed","W22 [10:52]: 80 events, n_users=12, dominant=Course module viewed",,,,,
129,Sec-05,34,3,Window 3 of 19 in this session,3/3/2026 9:42,3/3/2026 9:43,44,15,"S1=7, S2=5, S3=4, S4=4, S5=4, S6=3, S7=3, S8=2, S9=2, S10=2, S11=2, S12=2, S13=2, S14=1, S15=1",0.16,Course module viewed,0.5,Assignment,0.75,"Course module viewed: 22, The status of the submission has been viewed.: 13, Course viewed: 5, Submission form viewed.: 3, Grade user report viewed: 1","Assignment: 33, System: 5, File: 5, User report: 1","W2 [09:41]: 11 events, n_users=9, dominant=Course viewed","W4 [09:43]: 12 events, n_users=5, dominant=Course module viewed",,,,,
130,Sec-05,34,5,Window 5 of 19 in this session,3/3/2026 9:44,3/3/2026 9:45,21,6,"S1=6, S2=6, S3=3, S4=3, S5=2, S6=1",0.29,Course module viewed,0.571,Assignment,0.476,"Course module viewed: 12, Course viewed: 4, The status of the submission has been viewed.: 3, Submission form viewed.: 2","Assignment: 10, File: 7, System: 4","W4 [09:43]: 12 events, n_users=5, dominant=Course module viewed","W6 [09:45]: 22 events, n_users=4, dominant=Course module viewed",,,,,
131,Sec-05,34,51,Window 11 of 19 in this session,3/3/2026 10:30,3/3/2026 10:31,15,3,"S1=8, S2=6, S3=1",0.53,Course module viewed,0.333,Assignment,0.667,"Course module viewed: 5, The status of the submission has been viewed.: 2, A submission has been submitted.: 2, A file has been uploaded.: 2, Course viewed: 1","Assignment: 10, File submissions: 4, System: 1","W49 [10:28]: 11 events, n_users=4, dominant=Course module viewed","W59 [10:38]: 22 events, n_users=6, dominant=Course module viewed",,,,,
